pregunta,tag,categoria,respuesta,__expected
¿En qué te pareces a tu mamá?,personal,EXCELENTE,"Me parezco a mi mamá en que ambos amamos leer libros de aventuras, tenemos la misma sonrisa y el mismo color de ojos.",fn:output.includes('Calificación: EXCELENTE')
¿En qué te pareces a tu papá?,personal,EXCELENTE,"Me parezco a mi papá en la pasión por el fútbol, ambos disfrutamos jugarlo los sábados.",fn:output.includes('Calificación: EXCELENTE')
¿Qué hacen habitualmente con tu familia en vacaciones?,personal,EXCELENTE,"Vamos a la playa juntos, construimos castillos de arena y buscamos conchas.",fn:output.includes('Calificación: EXCELENTE')
¿Quién es tu mejor amigo o amiga?,personal,EXCELENTE,"Mi mejor amiga es Clara porque siempre juega conmigo en el recreo, comparte sus cosas y me hace reír.",fn:output.includes('Calificación: EXCELENTE')
¿Cuál es tu mascota favorita?,gustos,EXCELENTE,Mi mascota favorita es el perro porque es leal y siempre está feliz de verme cuando llego a casa.,fn:output.includes('Calificación: EXCELENTE')
¿Cuál es tu color favorito?,gustos,EXCELENTE,Mi color favorito es el azul porque es tranquilo y profundo como el océano.,fn:output.includes('Calificación: EXCELENTE')
¿Qué tipo de música es la que más te gusta?,gustos,EXCELENTE,Me gusta el pop porque tiene ritmos pegajosos y letras que hablan de amor y amistad. Es fácil de bailar.,fn:output.includes('Calificación: EXCELENTE')
¿Quién es tu artista favorito?,gustos,EXCELENTE,"Billie Eilish, porque usa su música para expresar sus sentimientos y ayuda a quienes la escuchan a sentirse comprendidos.",fn:output.includes('Calificación: EXCELENTE')
¿Cuál es tu deporte favorito?,gustos,EXCELENTE,Mi deporte favorito es el fútbol porque es divertido y puedo jugar con mis amigos en el parque.,fn:output.includes('Calificación: EXCELENTE')
¿Qué deportista admiras?,gustos,EXCELENTE,"Admiro a Lionel Messi porque es un gran futbolista, con muchos goles y premios, y siempre juega limpio.",fn:output.includes('Calificación: EXCELENTE')
¿Cuál es tu comida favorita?,gustos,EXCELENTE,Mi comida favorita es la pizza porque puedo elegir diferentes ingredientes cada vez y siempre sabe deliciosa.,fn:output.includes('Calificación: EXCELENTE')
